序号,借款方平台用户编号,标的号,标的金额,标的名称,标的描述,标的产品类型,年化利率,还款方式,待还本金,待还利息,固定值STOCK,标的期限
79,53058,LA20150526000030,260000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,260000.00,0,STOCK,1080
80,52952,LA20150526000031,320000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,320000.00,0,STOCK,1080
81,42355,LA20150527000007,141000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,141000.00,0,STOCK,1080
82,54112,LA20150527000022,400000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,400000.00,0,STOCK,1080
83,54942,LA20150528000025,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
84,55918,LA20150529000028,150000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,150000.00,0,STOCK,1080
85,53843,LA20150601000010,159000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,159000.00,0,STOCK,1080
86,56399,LA20150602000014,396000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,396000.00,0,STOCK,1080
87,54233,LA20150603000003,207000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,207000.00,0,STOCK,1080
88,50227,LA20150612000010,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
89,18476,LA20150615000034,150000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,150000.00,0,STOCK,1080
90,59571,LA20150616000011,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
91,56735,LA20150617000027,191000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,191000.00,0,STOCK,1080
92,56782,LA20150617000044,198000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,198000.00,0,STOCK,1080
93,60731,LA20150617000080,148000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,148000.00,0,STOCK,1080
94,59445,LA20150618000010,102000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,102000.00,0,STOCK,1080
95,60207,LA20150623000007,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
96,59909,LA20150624000014,139000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,139000.00,0,STOCK,1080
97,59461,LA20150626000006,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
98,62608,LA20150626000019,140000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,140000.00,0,STOCK,1080
99,56006,LA20150626000027,288000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,288000.00,0,STOCK,1080
100,64033,LA20150626000049,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
